Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Andy Irving,West Ham,87,82.1,0,0.2,3
Alexander Isak,Liverpool,45,65.2,1,0.1,2
Wilson Isidor,Sunderland,52,60.5,0,0.1,0
Alex Iwobi,Fulham,613,80.2,2,2.1,23
Daniel James,Leeds United,45,47.4,0,0.6,7
Reece James,Chelsea,697,84.0,3,1.7,16
Vitaly Janelt,Brentford,143,81.7,0,0.4,4
Mathias Jensen,Brentford,182,74.3,0,0.3,4
Gabriel Jesus,Arsenal,3,100.0,0,0.0,0
Igor Jesus,Nott'ham Forest,110,68.8,0,0.5,5
Álex Jiménez,Bournemouth,263,78.0,0,0.4,3
Raúl Jiménez,Fulham,129,65.5,2,0.4,8
João Pedro,Chelsea,305,77.8,3,1.2,19
Joelinton,Newcastle Utd,313,83.0,0,0.5,7
John,Nott'ham Forest,22,61.1,0,0.0,0
Brennan Johnson,Tottenham,97,63.4,0,0.3,5
Sam Johnstone,Wolves,301,60.7,0,0.0,0
Curtis Jones,Liverpool,503,92.3,0,1.1,7
Eli Junior Kroupi,Bournemouth,70,64.8,0,0.2,4
Hamed Junior Traorè,Bournemouth,2,66.7,1,0.0,1
James Justin,Leeds United,59,78.7,0,0.0,0
Filip Jørgensen,Chelsea,27,77.1,0,0.0,0
Ferdi Kadioglu,Brighton,478,80.2,0,1.1,3
Sasa Kalajdzic,Wolves,4,66.7,0,0.0,0
Arnaud Kalimuendo,Nott'ham Forest,24,80.0,0,0.0,1
Daichi Kamada,Crystal Palace,376,78.5,0,1.5,9
Boubacar Kamara,Aston Villa,535,87.7,3,0.6,11
Mohamadou Kanté,West Ham,1,25.0,0,0.0,0
Michael Kayode,Brentford,504,74.9,0,1.5,18
Michael Keane,Everton,463,85.9,0,0.1,1
Caoimhín Kelleher,Brentford,423,70.3,0,0.0,1
Milos Kerkez,Liverpool,480,80.8,0,0.4,11
Kevin,Fulham,121,67.6,0,0.7,6
